"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 04 07:58:38 GMT 2022","Thu Aug 04 07:58:39 GMT 2022","1278","","","","","","Validate Council Output -- @1.1 Testing : BlackburnCouncil",""
"broken","Thu Aug 04 08:02:00 GMT 2022","Thu Aug 04 08:02:00 GMT 2022","2","","","","","","Validate Council Output -- @1.17 Testing : WiganBoroughCouncil",""
"broken","Thu Aug 04 08:01:52 GMT 2022","Thu Aug 04 08:01:52 GMT 2022","2","","","","","","Validate Council Output -- @1.9 Testing : NELincs",""
"passed","Thu Aug 04 08:01:52 GMT 2022","Thu Aug 04 08:01:56 GMT 2022","3990","","","","","","Validate Council Output -- @1.11 Testing : SouthTynesideCouncil",""
"passed","Thu Aug 04 07:58:47 GMT 2022","Thu Aug 04 08:01:50 GMT 2022","183581","","","","","","Validate Council Output -- @1.7 Testing : LeedsCityCouncil",""
"broken","Thu Aug 04 07:58:47 GMT 2022","Thu Aug 04 07:58:47 GMT 2022","2","","","","","","Validate Council Output -- @1.4 Testing : CrawleyBoroughCouncil",""
"passed","Thu Aug 04 08:01:50 GMT 2022","Thu Aug 04 08:01:52 GMT 2022","1300","","","","","","Validate Council Output -- @1.8 Testing : MidSussexDistrictCouncil",""
"broken","Thu Aug 04 07:58:47 GMT 2022","Thu Aug 04 07:58:47 GMT 2022","2","","","","","","Validate Council Output -- @1.5 Testing : EastDevonDC",""
"passed","Thu Aug 04 07:58:39 GMT 2022","Thu Aug 04 07:58:44 GMT 2022","4622","","","","","","Validate Council Output -- @1.2 Testing : CardiffCouncil",""
"broken","Thu Aug 04 08:01:56 GMT 2022","Thu Aug 04 08:01:56 GMT 2022","2","","","","","","Validate Council Output -- @1.15 Testing : WakefieldCityCouncil",""
"broken","Thu Aug 04 07:58:47 GMT 2022","Thu Aug 04 07:58:47 GMT 2022","1","","","","","","Validate Council Output -- @1.6 Testing : HuntingdonDistrictCouncil",""
"broken","Thu Aug 04 08:01:52 GMT 2022","Thu Aug 04 08:01:52 GMT 2022","2","","","","","","Validate Council Output -- @1.10 Testing : NewcastleCityCouncil",""
"passed","Thu Aug 04 07:58:44 GMT 2022","Thu Aug 04 07:58:47 GMT 2022","2863","","","","","","Validate Council Output -- @1.3 Testing : CheshireEastCouncil",""
"broken","Thu Aug 04 08:01:56 GMT 2022","Thu Aug 04 08:01:56 GMT 2022","2","","","","","","Validate Council Output -- @1.13 Testing : StockportBoroughCouncil",""
"passed","Thu Aug 04 08:01:56 GMT 2022","Thu Aug 04 08:02:00 GMT 2022","4010","","","","","","Validate Council Output -- @1.16 Testing : WarwickDistrictCouncil",""
"broken","Thu Aug 04 08:01:56 GMT 2022","Thu Aug 04 08:01:56 GMT 2022","1","","","","","","Validate Council Output -- @1.14 Testing : TorridgeDistrictCouncil",""
"broken","Thu Aug 04 08:01:56 GMT 2022","Thu Aug 04 08:01:56 GMT 2022","2","","","","","","Validate Council Output -- @1.12 Testing : StHelensBC",""
