"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 08 02:09:32 GMT 2022","Sat Oct 08 02:09:33 GMT 2022","962","","","","","","Validate Council Output -- @1.4 Testing : CastlepointDistrictCouncil",""
"passed","Sat Oct 08 02:13:43 GMT 2022","Sat Oct 08 02:13:44 GMT 2022","1673","","","","","","Validate Council Output -- @1.11 Testing : MidSussexDistrictCouncil",""
"broken","Sat Oct 08 02:09:45 GMT 2022","Sat Oct 08 02:09:45 GMT 2022","3","","","","","","Validate Council Output -- @1.8 Testing : HuntingdonDistrictCouncil",""
"passed","Sat Oct 08 02:09:21 GMT 2022","Sat Oct 08 02:09:27 GMT 2022","6066","","","","","","Validate Council Output -- @1.2 Testing : BristolCityCouncil",""
"passed","Sat Oct 08 02:09:19 GMT 2022","Sat Oct 08 02:09:21 GMT 2022","1913","","","","","","Validate Council Output -- @1.1 Testing : BlackburnCouncil",""
"passed","Sat Oct 08 02:13:59 GMT 2022","Sat Oct 08 02:14:03 GMT 2022","4629","","","","","","Validate Council Output -- @1.22 Testing : WindsorAndMaidenheadCouncil",""
"broken","Sat Oct 08 02:13:47 GMT 2022","Sat Oct 08 02:13:47 GMT 2022","3","","","","","","Validate Council Output -- @1.18 Testing : WakefieldCityCouncil",""
"passed","Sat Oct 08 02:09:27 GMT 2022","Sat Oct 08 02:09:32 GMT 2022","5419","","","","","","Validate Council Output -- @1.3 Testing : CardiffCouncil",""
"broken","Sat Oct 08 02:13:44 GMT 2022","Sat Oct 08 02:13:47 GMT 2022","2616","","","","","","Validate Council Output -- @1.14 Testing : SouthTynesideCouncil",""
"passed","Sat Oct 08 02:14:03 GMT 2022","Sat Oct 08 02:14:12 GMT 2022","8214","","","","","","Validate Council Output -- @1.23 Testing : YorkCouncil",""
"broken","Sat Oct 08 02:09:45 GMT 2022","Sat Oct 08 02:09:45 GMT 2022","2","","","","","","Validate Council Output -- @1.7 Testing : EastDevonDC",""
"passed","Sat Oct 08 02:13:47 GMT 2022","Sat Oct 08 02:13:50 GMT 2022","2560","","","","","","Validate Council Output -- @1.19 Testing : WarwickDistrictCouncil",""
"broken","Sat Oct 08 02:13:47 GMT 2022","Sat Oct 08 02:13:47 GMT 2022","2","","","","","","Validate Council Output -- @1.16 Testing : StockportBoroughCouncil",""
"passed","Sat Oct 08 02:13:36 GMT 2022","Sat Oct 08 02:13:43 GMT 2022","6526","","","","","","Validate Council Output -- @1.10 Testing : ManchesterCityCouncil",""
"passed","Sat Oct 08 02:13:50 GMT 2022","Sat Oct 08 02:13:59 GMT 2022","9074","","","","","","Validate Council Output -- @1.20 Testing : WaverleyBoroughCouncil",""
"broken","Sat Oct 08 02:13:47 GMT 2022","Sat Oct 08 02:13:47 GMT 2022","3","","","","","","Validate Council Output -- @1.15 Testing : StHelensBC",""
"broken","Sat Oct 08 02:13:44 GMT 2022","Sat Oct 08 02:13:44 GMT 2022","3","","","","","","Validate Council Output -- @1.13 Testing : NewcastleCityCouncil",""
"broken","Sat Oct 08 02:13:47 GMT 2022","Sat Oct 08 02:13:47 GMT 2022","3","","","","","","Validate Council Output -- @1.17 Testing : TorridgeDistrictCouncil",""
"passed","Sat Oct 08 02:09:45 GMT 2022","Sat Oct 08 02:13:36 GMT 2022","231262","","","","","","Validate Council Output -- @1.9 Testing : LeedsCityCouncil",""
"passed","Sat Oct 08 02:09:33 GMT 2022","Sat Oct 08 02:09:45 GMT 2022","11742","","","","","","Validate Council Output -- @1.5 Testing : CheshireEastCouncil",""
"broken","Sat Oct 08 02:13:44 GMT 2022","Sat Oct 08 02:13:44 GMT 2022","2","","","","","","Validate Council Output -- @1.12 Testing : NELincs",""
"broken","Sat Oct 08 02:09:45 GMT 2022","Sat Oct 08 02:09:45 GMT 2022","2","","","","","","Validate Council Output -- @1.6 Testing : CrawleyBoroughCouncil",""
"broken","Sat Oct 08 02:13:59 GMT 2022","Sat Oct 08 02:13:59 GMT 2022","2","","","","","","Validate Council Output -- @1.21 Testing : WiganBoroughCouncil",""
